2024-05-30 22:55:52,606.temp_producerV1.INFO ==================================================
2024-05-30 22:55:52,607.temp_producerV1.INFO Today is 2024-05-30 at 10:55 PM
2024-05-30 22:55:52,607.temp_producerV1.INFO Running on: nt Windows 10
2024-05-30 22:55:52,607.temp_producerV1.INFO Python version:  3.12.3
2024-05-30 22:55:52,607.temp_producerV1.INFO Python path: C:\Users\Tower\Documents\ACoffinCSIS44671\-streaming-05-smart-smoker\.venv
2024-05-30 22:55:52,607.temp_producerV1.INFO Working dir: C:\Users\Tower\Documents\ACoffinCSIS44671\-streaming-05-smart-smoker
2024-05-30 22:55:52,608.temp_producerV1.INFO ==================================================
2024-05-30 23:10:36,807.temp_producerV1.INFO [x] sent 106.2 at 5/22/2021 12:33 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:33; temp: 106.2 deg F.'
2024-05-30 23:11:07,154.temp_producerV1.INFO [x] sent 103.5 at 5/22/2021 12:34 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:34; temp: 103.5 deg F.'
2024-05-30 23:11:37,986.temp_producerV1.INFO [x] sent 103.5 at 5/22/2021 12:34 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:34; temp: 103.5 deg F.'
2024-05-30 23:12:08,284.temp_producerV1.INFO [x] sent 105.3 at 5/22/2021 12:35 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:35; temp: 105.3 deg F.'
2024-05-30 23:12:38,576.temp_producerV1.INFO [x] sent 105.3 at 5/22/2021 12:35 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:35; temp: 105.3 deg F.'
2024-05-30 23:13:08,794.temp_producerV1.INFO [x] sent 106.9 at 5/22/2021 12:36 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:36; temp: 106.9 deg F.'
2024-05-30 23:13:39,043.temp_producerV1.INFO [x] sent 106.9 at 5/22/2021 12:36 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:36; temp: 106.9 deg F.'
2024-05-30 23:14:09,279.temp_producerV1.INFO [x] sent 111.9 at 5/22/2021 12:37 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:37; temp: 111.9 deg F.'
2024-05-30 23:14:39,500.temp_producerV1.INFO [x] sent 111.9 at 5/22/2021 12:37 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:37; temp: 111.9 deg F.'
2024-05-30 23:15:09,696.temp_producerV1.INFO [x] sent 114.2 at 5/22/2021 12:38 to 01-smoker, b'01-smoker Reading = Date: 5/22/2021, Time: 12:38; temp: 114.2 deg F.'
